Code zone,Code Produit,Code année,Emission indirecte de NO2
26,5061,2019,0.0012
26,5062,2015,0.0245
26,5062,2016,0.0253
26,5062,2017,0.0241
26,5062,2018,0.0258
26,5062,2019,0.024
26,5063,2015,0.0213
26,5063,2016,0.022000000000000002
26,5063,2017,0.0209
26,5063,2018,0.0222
26,5063,2019,0.0207
26,5064,2015,0.0001
26,5064,2016,0.0001
26,5064,2017,0.0001
26,5064,2018,0.0001
26,5064,2019,0.0001
27,5061,2015,1.683
27,5061,2016,1.7038
27,5061,2017,1.7087
27,5061,2018,1.7087
27,5061,2019,1.7071
27,5062,2015,0.2527
27,5062,2016,0.2554
27,5062,2017,0.2662
27,5062,2018,0.2676
27,5062,2019,0.2558
27,5063,2015,0.19699999999999998
27,5063,2016,0.1952
27,5063,2017,0.1933
27,5063,2018,0.1774
27,5063,2019,0.166
27,5064,2015,0.3403
27,5064,2016,0.3522
27,5064,2017,0.3761
27,5064,2018,0.3893
27,5064,2019,0.4242
233,5061,2015,0.2609
233,5061,2016,0.3454
233,5061,2017,0.2977
233,5061,2018,0.2893
233,5061,2019,0.3108
233,5062,2015,0.379
233,5062,2016,0.3882
233,5062,2017,0.3962
233,5062,2018,0.4045
233,5062,2019,0.4131
233,5063,2015,4.961
233,5063,2016,5.0799
233,5063,2017,5.202999999999999
233,5063,2018,5.3302
233,5063,2019,5.4455
233,5064,2015,0.2005
233,5064,2016,0.22399999999999998
233,5064,2017,0.2075
233,5064,2018,0.2515
233,5064,2019,0.2435
29,5061,2015,0.0236
29,5061,2016,0.0413
29,5061,2017,0.0518
29,5061,2018,0.0687
29,5061,2019,0.054000000000000006
29,5062,2015,0.0635
29,5062,2016,0.0695
29,5062,2017,0.0763
29,5062,2018,0.0913
29,5062,2019,0.0916
29,5063,2015,0.4851
29,5063,2016,0.5628
29,5063,2017,0.6940000000000001
29,5063,2018,0.6702
29,5063,2019,0.5874
29,5064,2015,0.027999999999999997
29,5064,2016,0.0447
29,5064,2017,0.0418
29,5064,2018,0.0464
29,5064,2019,0.0618
35,5062,2015,0.0095
35,5062,2016,0.0096
35,5062,2017,0.0076
35,5062,2018,0.0075
35,5062,2019,0.0077
35,5063,2015,0.0323
35,5063,2016,0.0328
35,5063,2017,0.0251
35,5063,2018,0.0251
35,5063,2019,0.0253
35,5064,2015,0.0007
35,5064,2016,0.0007
35,5064,2017,0.0005
35,5064,2018,0.0005
35,5064,2019,0.0005
115,5061,2015,0.413
115,5061,2016,0.2842
115,5061,2017,0.5872
115,5061,2018,0.6526
115,5061,2019,0.508
115,5062,2015,0.3906
115,5062,2016,0.3928
115,5062,2017,0.3909
115,5062,2018,0.3848
115,5062,2019,0.3828
115,5063,2015,0.5332
115,5063,2016,0.536
115,5063,2017,0.5315
115,5063,2018,0.5238
115,5063,2019,0.5201
115,5064,2015,0.469
115,5064,2016,0.5032
115,5064,2017,0.5279
115,5064,2018,0.5548
115,5064,2019,0.5554
32,5061,2015,0.2172
32,5061,2016,0.2031
32,5061,2017,0.2373
32,5061,2018,0.2375
32,5061,2019,0.226
32,5062,2015,0.2503
32,5062,2016,0.2533
32,5062,2017,0.2545
32,5062,2018,0.2581
32,5062,2019,0.2619
32,5063,2015,2.5109
32,5063,2016,2.4405
32,5063,2017,2.4326
32,5063,2018,2.4417
32,5063,2019,2.4516
32,5064,2015,0.1728
32,5064,2016,0.1829
32,5064,2017,0.1785
32,5064,2018,0.1866
32,5064,2019,0.1897
33,5061,2015,13.1815
33,5061,2016,12.5687
33,5061,2017,12.6197
33,5061,2018,14.1417
33,5061,2019,13.11
33,5062,2015,1.5761
33,5062,2016,1.5951
33,5062,2017,1.6038
33,5062,2018,1.6232
33,5062,2019,1.6321
33,5063,2015,2.7725
33,5063,2016,2.7649
33,5063,2017,2.7465
33,5063,2018,2.7499
33,5063,2019,2.7335
33,5064,2015,2.4801
33,5064,2016,2.6867
33,5064,2017,2.6606
33,5064,2018,2.727
33,5064,2019,2.7784
40,5061,2015,1.6801
40,5061,2016,1.3467
40,5061,2017,1.3467
40,5061,2018,1.3467
40,5061,2019,1.3467
40,5062,2015,0.7946
40,5062,2016,0.7813
40,5062,2017,0.7101
40,5062,2018,0.7794
40,5062,2019,0.777
40,5063,2015,1.2219
40,5063,2016,1.2401
40,5063,2017,1.2559
40,5063,2018,1.2645
40,5063,2019,1.3598
40,5064,2015,0.1384
40,5064,2016,0.1466
40,5064,2017,0.1317
40,5064,2018,0.1365
40,5064,2019,0.1242
351,5061,2015,158.0936
351,5061,2016,156.0236
351,5061,2017,151.7225
351,5061,2018,144.5647
351,5061,2019,150.7703
351,5062,2015,32.3753
351,5062,2016,32.9859
351,5062,2017,32.1589
351,5062,2018,31.3426
351,5062,2019,28.9816
351,5063,2015,46.6423
351,5063,2016,47.7541
351,5063,2017,46.2836
351,5063,2018,46.474
351,5063,2019,47.0249
351,5064,2015,23.0535
351,5064,2016,23.0006
351,5064,2017,23.1375
351,5064,2018,22.9433
351,5064,2019,23.0282
96,5061,2015,0.0359
96,5061,2016,0.0379
96,5061,2017,0.0417
96,5061,2018,0.052000000000000005
96,5061,2019,0.0438
96,5062,2015,0.0065
96,5062,2016,0.0064
96,5062,2017,0.0062
96,5062,2018,0.0061
96,5062,2019,0.006
96,5063,2015,0.0028
96,5063,2016,0.0027
96,5063,2017,0.0027
96,5063,2018,0.0028
96,5063,2019,0.0028
128,5061,2015,0.0
128,5061,2016,0.0
128,5061,2017,0.0
