Code Produit,Code année,Emission de N2O,Emission indirecte de NO2
5061,2017,0.1283,0.0417
5061,2018,0.1599,0.052000000000000005
5061,2019,0.1349,0.0438
5062,2015,0.0154,0.0065
5062,2016,0.015,0.0064
5062,2017,0.0146,0.0062
5062,2018,0.0143,0.0061
5062,2019,0.0142,0.006
5063,2015,0.0121,0.0028
5063,2016,0.0118,0.0027
5063,2017,0.0118,0.0027
5063,2018,0.0119,0.0028
5063,2019,0.0123,0.0028
5061,2015,0.0,0.0
5061,2016,0.0,0.0
5061,2017,0.0,0.0
5061,2018,0.0,0.0
5061,2019,0.0,0.0
5062,2015,0.0025,0.0011
5062,2016,0.0027,0.0011
5062,2017,0.0025,0.0011
5062,2018,0.0027,0.0011
5062,2019,0.0027,0.0011
5063,2015,0.0042,0.0009
5063,2016,0.0044,0.0009
5063,2017,0.0042,0.0009
5063,2018,0.0044,0.0009
5063,2019,0.0044,0.0009
5061,2015,483.9289,157.2769
5061,2016,477.5246,155.1955
5061,2017,464.2784,150.8905
5061,2018,442.2231,143.7225
5061,2019,461.3421,149.9362
5062,2015,75.4129,32.0505
5062,2016,76.8649,32.6676
5062,2017,74.9172,31.8398
5062,2018,72.9869,31.0194
5062,2019,67.4146,28.6512
5063,2015,157.3524,46.4627
5063,2016,161.4284,47.5789
5063,2017,157.0661,46.1076
5063,2018,158.9576,46.2945
5063,2019,160.7101,46.8417
5064,2015,102.164,22.9869
5064,2016,101.9223,22.9325
5064,2017,102.5072,23.0641
5064,2018,101.6225,22.8651
5064,2019,102.0189,22.9543
5061,2015,2.4024,0.7808
5061,2016,2.4316,0.7903
5061,2017,2.4316,0.7903
5061,2018,2.4316,0.7903
5061,2019,2.4316,0.7903
5062,2015,0.7464,0.3172
5062,2016,0.7313,0.3108
5062,2017,0.7336,0.3118
5062,2018,0.7435,0.316
5062,2019,0.7604,0.3232
5063,2015,0.7922,0.17600000000000002
5063,2016,0.7714,0.1715
5063,2017,0.7779,0.1724
5063,2018,0.7946,0.1759
5063,2019,0.8137,0.1794
5064,2015,0.2958,0.0666
5064,2016,0.3025,0.0681
5064,2017,0.3259,0.0733
5064,2018,0.3478,0.0783
5064,2019,0.3285,0.0739
5061,2015,0.1248,0.0406
5061,2016,0.1252,0.0407
5061,2017,0.1253,0.0407
5061,2018,0.1222,0.0397
