Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","224","Îles Turques-et-Caïques","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","38.191","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","240","Îles Vierges américaines","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","104.578","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","239","Îles Vierges britanniques","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","30.03","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","243","Îles Wallis-et-Futuna","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","11.432","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","100","Inde","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","1366417.754","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","101","Indonésie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","270625.568","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","102","Iran (République islamique d')","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","82913.906","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","103","Iraq","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","39309.783","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","104","Irlande","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","4882.495","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","99","Islande","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","339.031","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","105","Israël","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","8519.377","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","106","Italie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","60550.075","X","Sources internationales sûres",""
